ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789234024562,2026-09-12T17:27:04Z,SOXL,perp,ask,1.0,2289.34,0.2433,122.75
1789234024562,2026-09-12T17:27:04Z,SOXL,perp,ask,5.0,196474.03,2.394,122.75
1789234024562,2026-09-12T17:27:04Z,SPY,perp,bid,1.0,26829.55,0.8879,765.97
1789234024562,2026-09-12T17:27:04Z,SPY,perp,bid,5.0,111942.9,1.0069,765.97
1789234024562,2026-09-12T17:27:04Z,SPY,perp,ask,1.0,2095783.73,0.0056,765.98
1789234024562,2026-09-12T17:27:04Z,SPY,perp,ask,5.0,2095783.73,0.0056,765.98
1789234024562,2026-09-12T17:27:04Z,TSLA,perp,bid,1.0,2679.07,0.9954,366.03
1789234024562,2026-09-12T17:27:04Z,TSLA,perp,bid,5.0,60734.41,1.3605,366.03
1789234024562,2026-09-12T17:27:04Z,TSLA,perp,ask,1.0,182251.63,0.3465,366.05
1789234024562,2026-09-12T17:27:04Z,TSLA,perp,ask,5.0,182251.63,0.3465,366.05
1789234054576,2026-09-12T17:27:34Z,AAPL,perp,bid,1.0,179200.95,0.3327,333.7
1789234054576,2026-09-12T17:27:34Z,AAPL,perp,bid,5.0,179200.95,0.3327,333.7
1789234054576,2026-09-12T17:27:34Z,AAPL,perp,ask,1.0,2910.1,0.4986,333.71
1789234054576,2026-09-12T17:27:34Z,AAPL,perp,ask,5.0,172264.86,1.187,333.71
1789234054576,2026-09-12T17:27:34Z,GOOGL,perp,bid,1.0,1842.32,0.5683,339.93
1789234054576,2026-09-12T17:27:34Z,GOOGL,perp,bid,5.0,1842.32,0.5683,339.93
1789234054576,2026-09-12T17:27:34Z,GOOGL,perp,ask,1.0,76259.3,0.0734,339.94
1789234054576,2026-09-12T17:27:34Z,GOOGL,perp,ask,5.0,76259.3,0.0734,339.94
1789234054576,2026-09-12T17:27:34Z,HOOD,perp,bid,1.0,4305.32,0.0646,112.47
1789234054576,2026-09-12T17:27:34Z,HOOD,perp,bid,5.0,18761.86,4.9967,112.47
1789234054576,2026-09-12T17:27:34Z,HOOD,perp,ask,1.0,212207.1,0.7458,112.48
1789234054576,2026-09-12T17:27:34Z,HOOD,perp,ask,5.0,236842.22,1.0381,112.48
1789234054576,2026-09-12T17:27:34Z,META,perp,bid,1.0,52.0,0.0577,649.96
1789234054576,2026-09-12T17:27:34Z,META,perp,bid,5.0,7817.72,1.6633,649.96
1789234054576,2026-09-12T17:27:34Z,META,perp,ask,1.0,45268.14,0.7809,649.98
1789234054576,2026-09-12T17:27:34Z,META,perp,ask,5.0,45268.14,0.7809,649.98
1789234054576,2026-09-12T17:27:34Z,MRVL,perp,bid,1.0,49.87,-0.0,237.48
1789234054576,2026-09-12T17:27:34Z,MRVL,perp,bid,5.0,171134.34,3.3801,237.48
1789234054576,2026-09-12T17:27:34Z,MRVL,perp,ask,1.0,217173.91,0.4918,237.49
1789234054576,2026-09-12T17:27:34Z,MRVL,perp,ask,5.0,217173.91,0.4918,237.49
1789234054576,2026-09-12T17:27:34Z,NVDA,perp,bid,1.0,3652.24,0.6631,219.5
1789234054576,2026-09-12T17:27:34Z,NVDA,perp,bid,5.0,13479.94,1.2961,219.5
1789234054576,2026-09-12T17:27:34Z,NVDA,perp,ask,1.0,274804.71,0.4045,219.51
1789234054576,2026-09-12T17:27:34Z,NVDA,perp,ask,5.0,274804.71,0.4045,219.51
1789234054576,2026-09-12T17:27:34Z,QQQ,perp,bid,1.0,4184.02,0.256,716.46
